Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament,Opponent
Seisan,40.8,8.16,TRUE,Kotaro Ohata,rr,2025 Rabat,Adam Bardos
Suparinpei,38.7,7.74,FALSE,Adam Bardos,rr,2025 Rabat,Kotaro Ohata
Unsu,39.4,7.88,FALSE,Almosawi Sayed Salman,rr,2025 Rabat,James Harrison
Suparinpei,40.7,8.14,TRUE,James Harrison,rr,2025 Rabat,Almosawi Sayed Salman
Kanku Sho,39.3,7.86,TRUE,Almosawi Sayed Salman,rr,2025 Rabat,Adam Bardos
Chatanyara,38.9,7.78,FALSE,Adam Bardos,rr,2025 Rabat,Almosawi Sayed Salman
Nipaipo,41.3,8.26,TRUE,Kotaro Ohata,rr,2025 Rabat,James Harrison
Kururunfa,39.4,7.88,FALSE,James Harrison,rr,2025 Rabat,Kotaro Ohata
Gojushiho Sho,39.8,7.96,FALSE,Petru Comanescu,rr,2025 Rabat,Gianluca Gallo
Gojushiho Dai,40.7,8.14,TRUE,Gianluca Gallo,rr,2025 Rabat,Petru Comanescu
Chibana,38.6,7.72,FALSE,Martin Romero Raul,rr,2025 Rabat,Yasuhiro Machida
Suparinpei,39.1,7.82,TRUE,Yasuhiro Machida,rr,2025 Rabat,Martin Romero Raul
Unsu,40.8,8.16,TRUE,Gianluca Gallo,rr,2025 Rabat,Martin Romero Raul
Gojushiho,38.7,7.74,FALSE,Martin Romero Raul,rr,2025 Rabat,Gianluca Gallo
Kanku Sho,39.4,7.88,FALSE,Petru Comanescu,rr,2025 Rabat,Yasuhiro Machida
Paiku,40.7,8.14,TRUE,Yasuhiro Machida,rr,2025 Rabat,Petru Comanescu
Gankaku,39.3,7.86,TRUE,Petru Comanescu,rr,2025 Rabat,Martin Romero Raul
Suparinpei,38.9,7.78,FALSE,Martin Romero Raul,rr,2025 Rabat,Petru Comanescu
Gojushiho Sho,41.3,8.26,TRUE,Gianluca Gallo,rr,2025 Rabat,Yasuhiro Machida
Anan Dai,39.4,7.88,FALSE,Yasuhiro Machida,rr,2025 Rabat,Gianluca Gallo
Gojushiho Sho,38.7,7.74,TRUE,Almosawi Sayed Mohammed,rr,2025 Rabat,Yaroslav Fedorov
Anan Dai,38.6,7.72,FALSE,Yaroslav Fedorov,rr,2025 Rabat,Almosawi Sayed Mohammed
Gojushiho Dai,40.3,8.06,FALSE,Alessio Ghinami,rr,2025 Rabat,Aoi Funada
Chatanyara,40.4,8.08,TRUE,Aoi Funada,rr,2025 Rabat,Alessio Ghinami
Suparinpei,38.4,7.68,FALSE,Yaroslav Fedorov,rr,2025 Rabat,Alessio Ghinami
Gojushiho Sho,40,8,TRUE,Alessio Ghinami,rr,2025 Rabat,Yaroslav Fedorov
Unsu,38.6,7.72,FALSE,Almosawi Sayed Mohammed,rr,2025 Rabat,Aoi Funada
Suparinpei,40.3,8.06,TRUE,Aoi Funada,rr,2025 Rabat,Almosawi Sayed Mohammed
Gojushiho Dai,39.9,7.98,FALSE,Almosawi Sayed Mohammed,rr,2025 Rabat,Alessio Ghinami
Unsu,41.7,8.34,TRUE,Alessio Ghinami,rr,2025 Rabat,Almosawi Sayed Mohammed
Ohan Dai,38.9,7.78,FALSE,Yaroslav Fedorov,rr,2025 Rabat,Aoi Funada
Unsu,41.1,8.22,TRUE,Aoi Funada,rr,2025 Rabat,Yaroslav Fedorov
Ohan Dai,39.9,7.98,FALSE,Taishi Tozaki,rr,2025 Rabat,Yuki Ujihara
Suparinpei,40.2,8.04,TRUE,Yuki Ujihara,rr,2025 Rabat,Taishi Tozaki
Ohan Dai,41.1,8.22,FALSE,Ryusei Ikeda,rr,2025 Rabat,Kakeru Nishiyama
Seisan,42.9,8.58,TRUE,Kakeru Nishiyama,rr,2025 Rabat,Ryusei Ikeda
Chibana,39,7.8,FALSE,Yuki Ujihara,rr,2025 Rabat,Ryusei Ikeda
Anan,40.6,8.12,TRUE,Ryusei Ikeda,rr,2025 Rabat,Yuki Ujihara
Anan Dai,39.8,7.96,FALSE,Taishi Tozaki,rr,2025 Rabat,Kakeru Nishiyama
Shisochin,41.8,8.36,TRUE,Kakeru Nishiyama,rr,2025 Rabat,Taishi Tozaki
Papuren,40.2,8.04,FALSE,Taishi Tozaki,rr,2025 Rabat,Ryusei Ikeda
Ohan,41.3,8.26,TRUE,Ryusei Ikeda,rr,2025 Rabat,Taishi Tozaki
Papuren,40.4,8.08,FALSE,Yuki Ujihara,rr,2025 Rabat,Kakeru Nishiyama
Kururunfa,43.3,8.66,TRUE,Kakeru Nishiyama,rr,2025 Rabat,Yuki Ujihara
Sochin,41.5,8.3,FALSE,Ryuji Moto,r1,2025 Rabat,Kazumasa Moto
Unsu,42.7,8.54,TRUE,Kazumasa Moto,r1,2025 Rabat,Ryuji Moto
Ohan Dai,43.2,8.64,FALSE,Sakichi Abe,r1,2025 Rabat,Ariel Torres
Anan,43.3,8.66,TRUE,Ariel Torres,r1,2025 Rabat,Sakichi Abe
Suparinpei,42.6,8.52,TRUE,Kotaro Ohata,r1,2025 Rabat,Yasuhiro Machida
Papuren,41.4,8.28,FALSE,Yasuhiro Machida,r1,2025 Rabat,Kotaro Ohata
Chibana,42.4,8.48,FALSE,Aoi Funada,r1,2025 Rabat,Kakeru Nishiyama
Papuren,43.9,8.78,TRUE,Kakeru Nishiyama,r1,2025 Rabat,Aoi Funada
Gojushiho Sho,43.2,8.64,FALSE,Kazumasa Moto,r2,2025 Rabat,Ariel Torres
Anan Dai,43.5,8.7,TRUE,Ariel Torres,r2,2025 Rabat,Kazumasa Moto
Papuren,42.4,8.48,FALSE,Kotaro Ohata,r2,2025 Rabat,Kakeru Nishiyama
Suparinpei,44.2,8.84,TRUE,Kakeru Nishiyama,r2,2025 Rabat,Kotaro Ohata
Ohan Dai,43.4,8.68,FALSE,Ariel Torres,r3,2025 Rabat,Kakeru Nishiyama
Chibana,44.7,8.94,TRUE,Kakeru Nishiyama,r3,2025 Rabat,Ariel Torres
Anan Dai,43.3,8.66,TRUE,Sakichi Abe,rpc,2025 Rabat,Kazumasa Moto
Gojushiho Dai,42.8,8.56,FALSE,Kazumasa Moto,rpc,2025 Rabat,Sakichi Abe
Papuren,42.4,8.48,FALSE,Aoi Funada,rpc,2025 Rabat,Kotaro Ohata
Suparinpei,43,8.6,TRUE,Kotaro Ohata,rpc,2025 Rabat,Aoi Funada
Gojushiho Dai,39.7,7.94,TRUE,Almosawi Sayed Salman,rr,2025 Worlds,De Castro Heriberto
Ohan Dai,38.3,7.66,FALSE,De Castro Heriberto,rr,2025 Worlds,Almosawi Sayed Salman
Anan Dai,39.9,7.98,TRUE,Roman Hrcka,rr,2025 Worlds,Dylan Fisher
Ohan Dai,37.8,7.56,FALSE,Dylan Fisher,rr,2025 Worlds,Roman Hrcka
Chibana,38.3,7.66,FALSE,De Castro Heriberto,rr,2025 Worlds,Roman Hrcka
Nipaipo,40.3,8.06,TRUE,Roman Hrcka,rr,2025 Worlds,De Castro Heriberto
Gojushiho Sho,39.5,7.9,TRUE,Almosawi Sayed Salman,rr,2025 Worlds,Dylan Fisher
Anan Dai,38,7.6,FALSE,Dylan Fisher,rr,2025 Worlds,Almosawi Sayed Salman
Unsu,40.2,8.04,FALSE,Almosawi Sayed Salman,rr,2025 Worlds,Roman Hrcka
Papuren,40.5,8.1,TRUE,Roman Hrcka,rr,2025 Worlds,Almosawi Sayed Salman
Papuren,38,7.6,TRUE,De Castro Heriberto,rr,2025 Worlds,Dylan Fisher
Ohan,37.9,7.58,FALSE,Dylan Fisher,rr,2025 Worlds,De Castro Heriberto
Ohan,39.9,7.98,FALSE,Howard Hung Ho Wai,rr,2025 Worlds,Mostafa Elghobashy
Kanku Sho,40.6,8.12,TRUE,Mostafa Elghobashy,rr,2025 Worlds,Howard Hung Ho Wai
Anan Dai,39.4,7.88,FALSE,Thomas Klemz,rr,2025 Worlds,Alessio Ghinami
Kanku Sho,41.2,8.24,TRUE,Alessio Ghinami,rr,2025 Worlds,Thomas Klemz
Gojushiho Dai,40.8,8.16,TRUE,Mostafa Elghobashy,rr,2025 Worlds,Thomas Klemz
Ohan Dai,39.3,7.86,FALSE,Thomas Klemz,rr,2025 Worlds,Mostafa Elghobashy
Chibana,39.6,7.92,FALSE,Howard Hung Ho Wai,rr,2025 Worlds,Alessio Ghinami
Unsu,41.5,8.3,TRUE,Alessio Ghinami,rr,2025 Worlds,Howard Hung Ho Wai
Ohan Dai,39.8,7.96,FALSE,Howard Hung Ho Wai,rr,2025 Worlds,Thomas Klemz
Suparinpei,39.9,7.98,TRUE,Thomas Klemz,rr,2025 Worlds,Howard Hung Ho Wai
Gojushiho Sho,40.7,8.14,FALSE,Mostafa Elghobashy,rr,2025 Worlds,Alessio Ghinami
Gankaku,42.2,8.44,TRUE,Alessio Ghinami,rr,2025 Worlds,Mostafa Elghobashy
Kururunfa,40.1,8.02,TRUE,Yuki Ujihara,rr,2025 Worlds,Casanova Guerrero Cleiver
Unsu,38.3,7.66,FALSE,Casanova Guerrero Cleiver,rr,2025 Worlds,Yuki Ujihara
Chatanyara,37.5,7.5,FALSE,Nicholas Rowsby,rr,2025 Worlds,Chen Chao Ching
Ohan,39.2,7.84,TRUE,Chen Chao Ching,rr,2025 Worlds,Nicholas Rowsby
Sochin,38.4,7.68,TRUE,Casanova Guerrero Cleiver,rr,2025 Worlds,Nicholas Rowsby
Papuren,37.5,7.5,FALSE,Nicholas Rowsby,rr,2025 Worlds,Casanova Guerrero Cleiver
Papuren,39.9,7.98,FALSE,Yuki Ujihara,rr,2025 Worlds,Chen Chao Ching
Ohan Dai,40,8,TRUE,Chen Chao Ching,rr,2025 Worlds,Yuki Ujihara
Sanseru,39.3,7.86,TRUE,Yuki Ujihara,rr,2025 Worlds,Nicholas Rowsby
Kishimoto,36.2,7.24,FALSE,Nicholas Rowsby,rr,2025 Worlds,Yuki Ujihara
Gojushiho Dai,37.7,7.54,FALSE,Casanova Guerrero Cleiver,rr,2025 Worlds,Chen Chao Ching
Papuren,40.2,8.04,TRUE,Chen Chao Ching,rr,2025 Worlds,Casanova Guerrero Cleiver
Suparinpei,36.2,7.24,FALSE,Oluwaseun Olorunmbe,rr,2025 Worlds,Kangwei Yang
Ohan,38.7,7.74,TRUE,Kangwei Yang,rr,2025 Worlds,Oluwaseun Olorunmbe
Sochin,38.9,7.78,FALSE,Petru Comanescu,rr,2025 Worlds,Ariel Torres
Kururunfa,40.7,8.14,TRUE,Ariel Torres,rr,2025 Worlds,Petru Comanescu
Chibana,39.4,7.88,FALSE,Kangwei Yang,rr,2025 Worlds,Petru Comanescu
Unsu,39.5,7.9,TRUE,Petru Comanescu,rr,2025 Worlds,Kangwei Yang
Anan,35.8,7.16,FALSE,Oluwaseun Olorunmbe,rr,2025 Worlds,Ariel Torres
Shisochin,40.4,8.08,TRUE,Ariel Torres,rr,2025 Worlds,Oluwaseun Olorunmbe
Nipaipo,34.9,6.98,FALSE,Oluwaseun Olorunmbe,rr,2025 Worlds,Petru Comanescu
Gojushiho Sho,39.7,7.94,TRUE,Petru Comanescu,rr,2025 Worlds,Oluwaseun Olorunmbe
Papuren,39.2,7.84,FALSE,Kangwei Yang,rr,2025 Worlds,Ariel Torres
Sanseiru,41.4,8.28,TRUE,Ariel Torres,rr,2025 Worlds,Kangwei Yang
Suparinpei,35.6,7.12,FALSE,Brillant Mukeshimana,rr,2025 Worlds,Impagnatiello Luca Mateo
Gojushiho Sho,38.2,7.64,TRUE,Impagnatiello Luca Mateo,rr,2025 Worlds,Brillant Mukeshimana
Chatanyara,37.9,7.58,TRUE,Artur Neto,rr,2025 Worlds,Roman Heydarov
Gojushiho Dai,37.6,7.52,FALSE,Roman Heydarov,rr,2025 Worlds,Artur Neto
Suparinpei,37.4,7.48,FALSE,Impagnatiello Luca Mateo,rr,2025 Worlds,Artur Neto
Anan Dai,38.6,7.72,TRUE,Artur Neto,rr,2025 Worlds,Impagnatiello Luca Mateo
Chatanyara,35.9,7.18,FALSE,Brillant Mukeshimana,rr,2025 Worlds,Roman Heydarov
Sochin,37.8,7.56,TRUE,Roman Heydarov,rr,2025 Worlds,Brillant Mukeshimana
Gojushiho Sho,36,7.2,FALSE,Brillant Mukeshimana,rr,2025 Worlds,Artur Neto
Anan,38.5,7.7,TRUE,Artur Neto,rr,2025 Worlds,Brillant Mukeshimana
Unsu,38.1,7.62,FALSE,Impagnatiello Luca Mateo,rr,2025 Worlds,Roman Heydarov
Gojushiho Sho,38.4,7.68,TRUE,Roman Heydarov,rr,2025 Worlds,Impagnatiello Luca Mateo
Unsu,38.2,7.64,TRUE,Taeyeon Hwang,rr,2025 Worlds,Tijani Lamoum
Gojushiho Sho,38,7.6,FALSE,Tijani Lamoum,rr,2025 Worlds,Taeyeon Hwang
Suparinpei,39.8,7.96,FALSE,Damian Quintero,rr,2025 Worlds,Enes Ozdemir
Gojushiho Sho,41,8.2,TRUE,Enes Ozdemir,rr,2025 Worlds,Damian Quintero
Unsu,37.9,7.58,FALSE,Tijani Lamoum,rr,2025 Worlds,Damian Quintero
Pachu,39.8,7.96,TRUE,Damian Quintero,rr,2025 Worlds,Tijani Lamoum
Kanku Sho,37.2,7.44,FALSE,Taeyeon Hwang,rr,2025 Worlds,Enes Ozdemir
Sochin,40.6,8.12,TRUE,Enes Ozdemir,rr,2025 Worlds,Taeyeon Hwang
Gojushiho Sho,37.4,7.48,FALSE,Taeyeon Hwang,rr,2025 Worlds,Damian Quintero
Paiku,39.6,7.92,TRUE,Damian Quintero,rr,2025 Worlds,Taeyeon Hwang
Gojushiho Dai,38,7.6,FALSE,Tijani Lamoum,rr,2025 Worlds,Enes Ozdemir
Gojushiho Dai,40,8,TRUE,Enes Ozdemir,rr,2025 Worlds,Tijani Lamoum
Gojushiho Dai,38.5,7.7,FALSE,Youcef Ziad,rr,2025 Worlds,Anthony Vu
Ohan Dai,39.3,7.86,TRUE,Anthony Vu,rr,2025 Worlds,Youcef Ziad
Kanku Sho,38.1,7.62,FALSE,Alejandro Ramirez,rr,2025 Worlds,Morris Tellocke
Ohan Dai,39.6,7.92,TRUE,Morris Tellocke,rr,2025 Worlds,Alejandro Ramirez
Anan,39.9,7.98,TRUE,Anthony Vu,rr,2025 Worlds,Alejandro Ramirez
Unsu,37.8,7.56,FALSE,Alejandro Ramirez,rr,2025 Worlds,Anthony Vu
Gojushiho Sho,39,7.8,TRUE,Youcef Ziad,rr,2025 Worlds,Morris Tellocke
Anan,37.7,7.54,FALSE,Morris Tellocke,rr,2025 Worlds,Youcef Ziad
Unsu,39.8,7.96,TRUE,Youcef Ziad,rr,2025 Worlds,Alejandro Ramirez
Gojushiho Sho,37.8,7.56,FALSE,Alejandro Ramirez,rr,2025 Worlds,Youcef Ziad
Papuren,39.7,7.94,TRUE,Anthony Vu,rr,2025 Worlds,Morris Tellocke
Suparinpei,37.9,7.58,FALSE,Morris Tellocke,rr,2025 Worlds,Anthony Vu
Gojushiho Sho,39.2,7.84,TRUE,Vladimir Mijac,rr,2025 Worlds,Jure Sluga
Sansai,37.1,7.42,FALSE,Jure Sluga,rr,2025 Worlds,Vladimir Mijac
Sochin,38.3,7.66,FALSE,Vladimir Mijac,rr,2025 Worlds,Kakeru Nishiyama
Shisochin,41,8.2,TRUE,Kakeru Nishiyama,rr,2025 Worlds,Vladimir Mijac
Gojushiho Sho,38.2,7.64,FALSE,Jure Sluga,rr,2025 Worlds,Kakeru Nishiyama
Kururunfa,41.6,8.32,TRUE,Kakeru Nishiyama,rr,2025 Worlds,Jure Sluga
Gojushiho Dai,40.7,8.14,FALSE,Vladimir Mijac,r1,2025 Worlds,Roman Hrcka
Chibana,40.8,8.16,TRUE,Roman Hrcka,r1,2025 Worlds,Vladimir Mijac
Kanku Sho,39.6,7.92,FALSE,Youcef Ziad,r1,2025 Worlds,Alessio Ghinami
Gojushiho Sho,41.8,8.36,TRUE,Alessio Ghinami,r1,2025 Worlds,Youcef Ziad
Anan Dai,40.7,8.14,TRUE,Damian Quintero,r1,2025 Worlds,Chen Chao Ching
Anan Dai,38.7,7.74,FALSE,Chen Chao Ching,r1,2025 Worlds,Damian Quintero
Gankaku,39.3,7.86,FALSE,Roman Heydarov,r1,2025 Worlds,Ariel Torres
Anan,42.4,8.48,TRUE,Ariel Torres,r1,2025 Worlds,Roman Heydarov
Kanku Sho,41.2,8.24,TRUE,Petru Comanescu,r1,2025 Worlds,Artur Neto
Chibana,39.9,7.98,FALSE,Artur Neto,r1,2025 Worlds,Petru Comanescu
Suparinpei,39.8,7.96,FALSE,Yuki Ujihara,r1,2025 Worlds,Enes Ozdemir
Unsu,41.5,8.3,TRUE,Enes Ozdemir,r1,2025 Worlds,Yuki Ujihara
Unsu,40.7,8.14,TRUE,Mostafa Elghobashy,r1,2025 Worlds,Anthony Vu
Chibana,40.7,8.14,FALSE,Anthony Vu,r1,2025 Worlds,Mostafa Elghobashy
Kanku Sho,40.6,8.12,FALSE,Almosawi Sayed Salman,r1,2025 Worlds,Kakeru Nishiyama
Seisan,43.2,8.64,TRUE,Kakeru Nishiyama,r1,2025 Worlds,Almosawi Sayed Salman
Chatanyara,41.5,8.3,FALSE,Roman Hrcka,r2,2025 Worlds,Alessio Ghinami
Gojushiho Dai,43,8.6,TRUE,Alessio Ghinami,r2,2025 Worlds,Roman Hrcka
Ohan Dai,41.3,8.26,FALSE,Damian Quintero,r2,2025 Worlds,Ariel Torres
Anan Dai,42.4,8.48,TRUE,Ariel Torres,r2,2025 Worlds,Damian Quintero
Gankaku,40.3,8.06,FALSE,Petru Comanescu,r2,2025 Worlds,Enes Ozdemir
Kanku Sho,42.6,8.52,TRUE,Enes Ozdemir,r2,2025 Worlds,Petru Comanescu
Sochin,41.2,8.24,FALSE,Mostafa Elghobashy,r2,2025 Worlds,Kakeru Nishiyama
Papuren,43.2,8.64,TRUE,Kakeru Nishiyama,r2,2025 Worlds,Mostafa Elghobashy
Gankaku,43.4,8.68,TRUE,Alessio Ghinami,r3,2025 Worlds,Ariel Torres
Ohan Dai,43.3,8.66,FALSE,Ariel Torres,r3,2025 Worlds,Alessio Ghinami
Unsu,42.2,8.44,FALSE,Enes Ozdemir,r3,2025 Worlds,Kakeru Nishiyama
Suparinpei,43.3,8.66,TRUE,Kakeru Nishiyama,r3,2025 Worlds,Enes Ozdemir
Gojushiho Dai,44.2,8.84,FALSE,Alessio Ghinami,r4,2025 Worlds,Kakeru Nishiyama
Chibana,46.4,9.28,TRUE,Kakeru Nishiyama,r4,2025 Worlds,Alessio Ghinami
Chibana,42,8.4,FALSE,Roman Hrcka,rpc,2025 Worlds,Ariel Torres
Anan Dai,44,8.8,TRUE,Ariel Torres,rpc,2025 Worlds,Roman Hrcka
Unsu,43.2,8.64,FALSE,Mostafa Elghobashy,rpc,2025 Worlds,Enes Ozdemir
Gojushiho Sho,44.3,8.86,TRUE,Enes Ozdemir,rpc,2025 Worlds,Mostafa Elghobashy
