Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament,Opponent
Papuren,39.6,7.92,TRUE,James Harrison,rr,2024 Antalya,Omar Diop
Gojushiho Sho,37.2,7.44,FALSE,Omar Diop,rr,2024 Antalya,James Harrison
Kururunfa,39.6,7.92,FALSE,James Harrison,rr,2024 Antalya,Ryonosuke Kikuchi
Ohan Dai,42.1,8.42,TRUE,Ryonosuke Kikuchi,rr,2024 Antalya,James Harrison
Gojushiho Dai,40.9,8.18,TRUE,Mohammad Hussain,rr,2024 Antalya,Omar Diop
Unsu,37.5,7.5,FALSE,Omar Diop,rr,2024 Antalya,Mohammad Hussain
Gojushiho Sho,41,8.2,TRUE,Alessandro Iodice,rr,2024 Antalya,Petru Comanescu
Unsu,40,8,FALSE,Petru Comanescu,rr,2024 Antalya,Alessandro Iodice
Unsu,41.4,8.28,FALSE,Alessandro Iodice,rr,2024 Antalya,Kazumasa Moto
Sochin,42.8,8.56,TRUE,Kazumasa Moto,rr,2024 Antalya,Alessandro Iodice
Sansai,38.2,7.64,FALSE,Petru Comanescu,rr,2024 Antalya,Kazumasa Moto
Gojushiho Dai,42,8.4,TRUE,Kazumasa Moto,rr,2024 Antalya,Petru Comanescu
Papuren,38.9,7.78,FALSE,Dyun Kimura,rr,2024 Antalya,Howard Hung Ho Wai
Chibana,39.9,7.98,TRUE,Howard Hung Ho Wai,rr,2024 Antalya,Dyun Kimura
Ohan Dai,39.7,7.94,FALSE,Botond Nagy,rr,2024 Antalya,Alessio Ghinami
Gojushiho Sho,41.2,8.24,TRUE,Alessio Ghinami,rr,2024 Antalya,Botond Nagy
Ohan,40,8,TRUE,Howard Hung Ho Wai,rr,2024 Antalya,Botond Nagy
Anan Dai,39.4,7.88,FALSE,Botond Nagy,rr,2024 Antalya,Howard Hung Ho Wai
Ohan Dai,38.8,7.76,FALSE,Dyun Kimura,rr,2024 Antalya,Alessio Ghinami
Unsu,41,8.2,TRUE,Alessio Ghinami,rr,2024 Antalya,Dyun Kimura
Anan Dai,38.2,7.64,FALSE,Dyun Kimura,rr,2024 Antalya,Botond Nagy
Paiku,39.5,7.9,TRUE,Botond Nagy,rr,2024 Antalya,Dyun Kimura
Ohan Dai,39.7,7.94,FALSE,Howard Hung Ho Wai,rr,2024 Antalya,Alessio Ghinami
Gojushiho Dai,41.2,8.24,TRUE,Alessio Ghinami,rr,2024 Antalya,Howard Hung Ho Wai
Gojushiho Sho,38.6,7.72,FALSE,Roman Heydarov,rr,2024 Antalya,Gianluca Gallo
Gojushiho Sho,39.8,7.96,TRUE,Gianluca Gallo,rr,2024 Antalya,Roman Heydarov
Sochin,38.8,7.76,FALSE,Roman Heydarov,rr,2024 Antalya,Kakeru Nishiyama
Shishochin,40.9,8.18,TRUE,Kakeru Nishiyama,rr,2024 Antalya,Roman Heydarov
Gojushiho Dai,39.9,7.98,FALSE,Gianluca Gallo,rr,2024 Antalya,Kakeru Nishiyama
Kururunfa,41.9,8.38,TRUE,Kakeru Nishiyama,rr,2024 Antalya,Gianluca Gallo
Jitte,40.8,8.16,FALSE,Ryuji Moto,r1,2024 Antalya,Sakichi Abe
Anan Dai,44,8.8,TRUE,Sakichi Abe,r1,2024 Antalya,Ryuji Moto
Ohan Dai,42.3,8.46,FALSE,Ryusei Ikeda,r1,2024 Antalya,Ariel Torres
Ohan Dai,43.2,8.64,TRUE,Ariel Torres,r1,2024 Antalya,Ryusei Ikeda
Papuren,42.8,8.56,FALSE,Ryonosuke Kikuchi,r1,2024 Antalya,Kazumasa Moto
Gojushiho Sho,43.4,8.68,TRUE,Kazumasa Moto,r1,2024 Antalya,Ryonosuke Kikuchi
Gankaku,42.2,8.44,FALSE,Alessio Ghinami,r1,2024 Antalya,Kakeru Nishiyama
Papuren,43.7,8.74,TRUE,Kakeru Nishiyama,r1,2024 Antalya,Alessio Ghinami
Suparinpei,42.6,8.52,FALSE,Sakichi Abe,r2,2024 Antalya,Ariel Torres
Anan,43,8.6,TRUE,Ariel Torres,r2,2024 Antalya,Sakichi Abe
Gankaku,41.8,8.36,FALSE,Kazumasa Moto,r2,2024 Antalya,Kakeru Nishiyama
Suparinpei,43.5,8.7,TRUE,Kakeru Nishiyama,r2,2024 Antalya,Kazumasa Moto
Anan Dai,43.7,8.74,FALSE,Ariel Torres,r3,2024 Antalya,Kakeru Nishiyama
Chibana,45.7,9.14,TRUE,Kakeru Nishiyama,r3,2024 Antalya,Ariel Torres
Suparinpei,42.2,8.44,FALSE,Ryusei Ikeda,rpc,2024 Antalya,Sakichi Abe
Anan,43.6,8.72,TRUE,Sakichi Abe,rpc,2024 Antalya,Ryusei Ikeda
Kanku Sho,42.2,8.44,TRUE,Alessio Ghinami,rpc,2024 Antalya,Kazumasa Moto
Unsu,42.2,8.44,FALSE,Kazumasa Moto,rpc,2024 Antalya,Alessio Ghinami
Kururunfa,40.6,8.12,FALSE,Yuki Ujihara,rr,2024 Cairo,Franck Ngoan
Unsu,40.6,8.12,TRUE,Franck Ngoan,rr,2024 Cairo,Yuki Ujihara
Anan,41.3,8.26,FALSE,Gakuji Tozaki,rr,2024 Cairo,Ryuji Moto
Sochin,41.6,8.32,TRUE,Ryuji Moto,rr,2024 Cairo,Gakuji Tozaki
Gojushiho Sho,39.9,7.98,FALSE,Franck Ngoan,rr,2024 Cairo,Gakuji Tozaki
Suparinpei,40.7,8.14,TRUE,Gakuji Tozaki,rr,2024 Cairo,Franck Ngoan
Suparinpei,39.4,7.88,FALSE,Yuki Ujihara,rr,2024 Cairo,Ryuji Moto
